Pedidos e respostas,Órgão,Ano,Assunto,Decisão,Veredito
"Ilustríssimo, Sou estudante da pós-graduação em Processo Civil Contemporâneo no Programa de Pós-Graduação em Direito do Centro de Ciências Jurídicas da Universidade Federal de Pernambuco. Estou realizando uma pesquisa sobre as cotas raciais na pós-graduação a partir de uma análise da eficácia normativa. Posto isso, gostaria de requerer algumas informações, com base na Lei 12.527/11. A Portaria Normativa n° 13, de 11 de maio de 2016, considerando a Lei 12.288/10, a Lei 12.711/12 e o Decreto nº 7.824/12, resolveu que as IES federais deveriam apresentar proposta de inclusão de negros (pretos e pardos), indígenas e pessoas com deficiência em seus programas de pós-graduação (Mestrado, Mestrado Profissional e Doutorado), como Políticas de Ações Afirmativas . Dessa forma, requer à Vossa Senhoria que se digne a: • Disponibilizar a proposta que vossa instituição apresentou em cumprimento à Portaria Normativa, • Disponibilizar os editais dos programas de pós-graduação, seja latu sensu, seja stricto sensu, que adotaram o regime de cotas, • Disponibilizar os editais dos programas de de pós-graduação, seja latu sensu, seja stricto sensu, que não adotaram o regime de cotas, e, • Disponibilizar eventual política de ação afirmativa ligada ao tema que vossa instituição tenha em vigor. A disponibilização pode ser feita por envio direto (seja por este portal, seja por e-mail, como ficar viável) ou por disponibilização de links ativos – em todo caso, relacionando a cada pedido separadamente. Em cumprimento ao art. 10 da Lei 12.527/11, identifica-se o requerente através do cadastro no sistema e-SIC. Quaisquer informações adicionais que sejam requisitos necessários à obtenção das informações aqui requeridas, desde que razoáveis, podem ser requeridas a este requerente que terá o prazer de contribuir com Vossa Senhoria no cumprimento de vosso dever de prestar informação. Atenciosamente. ;08/09/2017;Sim;Não;Pelo sistema (com avisos por email);Internet;2808846;Educação Superior; ; ;11/09/2017;PPrezado Luiz Cláudio Cardona Pereira, boa tarde. Abaixo e em anexo seguem as repostas dada pelo setor responsável. Desde já agradecemos a sua compreensão. Cordialmente, Sami Sanchez Júnior - 2785664 SIC/UFJF Em virtude de o dia 08/09 ter sido recesso na UFJF, encaminhamos, na data de hoje e em anexo, a resposta à solicitação formalizada por Luiz Cláudio Cardona Pereira. Permanecemos à inteira disposição para o que for necessário. Atenciosamente, --- Gabriella Cristina do Nascimento Ribeiro Gerência de Bolsas Pró-reitoria de Pós-graduação e Pesquisa Universidade Federal de Juiz de Fora (32) 2102-3775 ;Acesso Concedido;Resposta solicitada inserida no Fala.Br",UFJF – Universidade Federal de Juiz de Fora,2017,"Requer a disponibilização da proposta de políticas de ação afirmativa nos termos da Portaria Normativa nº 13/2016, bem como a disponibilização dos editais dos programas de pós-graduação que adotaram até o momento o sistema de cotas, e outros pedidos.",Atendido em anexo,1
"Ilustríssimo, Sou estudante da pós-graduação em Processo Civil Contemporâneo no Programa de Pós-Graduação em Direito do Centro de Ciências Jurídicas da Universidade Federal de Pernambuco. Estou realizando uma pesquisa sobre as cotas raciais na pós-graduação a partir de uma análise da eficácia normativa. Posto isso, gostaria de requerer algumas informações, com base na Lei 12.527/11. A Portaria Normativa n° 13, de 11 de maio de 2016, considerando a Lei 12.288/10, a Lei 12.711/12 e o Decreto nº 7.824/12, resolveu que as IES federais deveriam apresentar proposta de inclusão de negros (pretos e pardos), indígenas e pessoas com deficiência em seus programas de pós-graduação (Mestrado, Mestrado Profissional e Doutorado), como Políticas de Ações Afirmativas . Dessa forma, requer à Vossa Senhoria que se digne a: • Disponibilizar a proposta que vossa instituição apresentou em cumprimento à Portaria Normativa, • Disponibilizar os editais dos programas de pós-graduação, seja latu sensu, seja stricto sensu, que adotaram o regime de cotas, • Disponibilizar os editais dos programas de de pós-graduação, seja latu sensu, seja stricto sensu, que não adotaram o regime de cotas, e, • Disponibilizar eventual política de ação afirmativa ligada ao tema que vossa instituição tenha em vigor. A disponibilização pode ser feita por envio direto (seja por este portal, seja por e-mail, como ficar viável) ou por disponibilização de links ativos – em todo caso, relacionando a cada pedido separadamente. Em cumprimento ao art. 10 da Lei 12.527/11, identifica-se o requerente através do cadastro no sistema e-SIC. Quaisquer informações adicionais que sejam requisitos necessários à obtenção das informações aqui requeridas, desde que razoáveis, podem ser requeridas a este requerente que terá o prazer de contribuir com Vossa Senhoria no cumprimento de vosso dever de prestar informação. Atenciosamente. ;28/08/2017;Não;Não;Pelo sistema (com avisos por email);Internet;2808846;Educação Superior; ; ;21/08/2017;Prezado, Enviando resposta à sua solicitação de informação em anexo. Atenciosamente, Serviço de Informação ao Cidadão;Acesso Concedido;Resposta solicitada inserida no Fala.Br",UFLA – Universidade Federal de Lavras,2017,"Requer a disponibilização da proposta de políticas de ação afirmativa nos termos da Portaria Normativa nº 13/2016, bem como a disponibilização dos editais dos programas de pós-graduação que adotaram até o momento o sistema de cotas, e outros pedidos.",Atendido em anexo,1
"Ilustríssimo, Sou estudante da pós-graduação em Processo Civil Contemporâneo no Programa de Pós-Graduação em Direito do Centro de Ciências Jurídicas da Universidade Federal de Pernambuco. Estou realizando uma pesquisa sobre as cotas raciais na pós-graduação a partir de uma análise da eficácia normativa. Posto isso, gostaria de requerer algumas informações, com base na Lei 12.527/11. A Portaria Normativa n° 13, de 11 de maio de 2016, considerando a Lei 12.288/10, a Lei 12.711/12 e o Decreto nº 7.824/12, resolveu que as IES federais deveriam apresentar proposta de inclusão de negros (pretos e pardos), indígenas e pessoas com deficiência em seus programas de pós-graduação (Mestrado, Mestrado Profissional e Doutorado), como Políticas de Ações Afirmativas . Dessa forma, requer à Vossa Senhoria que se digne a: • Disponibilizar a proposta que vossa instituição apresentou em cumprimento à Portaria Normativa, • Disponibilizar os editais dos programas de pós-graduação, seja latu sensu, seja stricto sensu, que adotaram o regime de cotas, • Disponibilizar os editais dos programas de de pós-graduação, seja latu sensu, seja stricto sensu, que não adotaram o regime de cotas, e, • Disponibilizar eventual política de ação afirmativa ligada ao tema que vossa instituição tenha em vigor. A disponibilização pode ser feita por envio direto (seja por este portal, seja por e-mail, como ficar viável) ou por disponibilização de links ativos – em todo caso, relacionando a cada pedido separadamente. Em cumprimento ao art. 10 da Lei 12.527/11, identifica-se o requerente através do cadastro no sistema e-SIC. Quaisquer informações adicionais que sejam requisitos necessários à obtenção das informações aqui requeridas, desde que razoáveis, podem ser requeridas a este requerente que terá o prazer de contribuir com Vossa Senhoria no cumprimento de vosso dever de prestar informação. Atenciosamente. ;28/08/2017;Não;Não;Pelo sistema (com avisos por email);Internet;2808846;Outros em Administração; ; ;25/08/2017;Prezado Sr. Luiz Cláudio, A presente solicitação foi respondida pela Supervisão de Planejamento e Provimento, cujas informações constam em anexo. Informamos sobre a possibilidade interposição de recurso, no prazo de 10(dez) dias, no caso de indeferimento de acesso ou às razões da negativa do acesso. O recurso será dirigido à autoridade hierarquicamente superior a que exarou a decisão impugnada, que deverá se manifestar no prazo de 5(cinco) dias. A Universidade Federal de Mato Grosso, agradece o envio de sua mensagem e colocamo-nos ao seu dispor para apresentação de futuras demandas. Atenciosamente Serviço de Informação ao Cidadão/UFMT ;Acesso Concedido;Resposta solicitada inserida no Fala.Br",UFMT – Fundação Universidade Federal de Mato Grosso,2017,"Requer a disponibilização da proposta de políticas de ação afirmativa nos termos da Portaria Normativa nº 13/2016, bem como a disponibilização dos editais dos programas de pós-graduação que adotaram até o momento o sistema de cotas, e outros pedidos.",Atendido em anexo,1
"Ilustríssimo, Sou estudante da pós-graduação em Processo Civil Contemporâneo no Programa de Pós-Graduação em Direito do Centro de Ciências Jurídicas da Universidade Federal de Pernambuco. Estou realizando uma pesquisa sobre as cotas raciais na pós-graduação a partir de uma análise da eficácia normativa. Posto isso, gostaria de requerer algumas informações, com base na Lei 12.527/11. A Portaria Normativa n° 13, de 11 de maio de 2016, considerando a Lei 12.288/10, a Lei 12.711/12 e o Decreto nº 7.824/12, resolveu que as IES federais deveriam apresentar proposta de inclusão de negros (pretos e pardos), indígenas e pessoas com deficiência em seus programas de pós-graduação (Mestrado, Mestrado Profissional e Doutorado), como Políticas de Ações Afirmativas . Dessa forma, requer à Vossa Senhoria que se digne a: • Disponibilizar a proposta que vossa instituição apresentou em cumprimento à Portaria Normativa, • Disponibilizar os editais dos programas de pós-graduação, seja latu sensu, seja stricto sensu, que adotaram o regime de cotas, • Disponibilizar os editais dos programas de de pós-graduação, seja latu sensu, seja stricto sensu, que não adotaram o regime de cotas, e, • Disponibilizar eventual política de ação afirmativa ligada ao tema que vossa instituição tenha em vigor. A disponibilização pode ser feita por envio direto (seja por este portal, seja por e-mail, como ficar viável) ou por disponibilização de links ativos – em todo caso, relacionando a cada pedido separadamente. Em cumprimento ao art. 10 da Lei 12.527/11, identifica-se o requerente através do cadastro no sistema e-SIC. Quaisquer informações adicionais que sejam requisitos necessários à obtenção das informações aqui requeridas, desde que razoáveis, podem ser requeridas a este requerente que terá o prazer de contribuir com Vossa Senhoria no cumprimento de vosso dever de prestar informação. Atenciosamente. ;08/09/2017;Sim;Não;Pelo sistema (com avisos por email);Internet;2808846;Educação Superior; ; ;11/09/2017; Prezado Sr., em resposta ao seu pedido de informação, segue resposta da Pró-Reitoria de Pós-graduação da UFMG: Segue a Resolução da UFMG que dispõe sobre Ações Afirmativas na Pós-Graduação stricto sensu. No site da Pró-Reitoria de Pós-Graduação - https://www.ufmg.br/prpg/editais/ - estão disponíveis os editais de seleção dos Programas e todos de 2018 já têm reserva de vagas para negros. Os cursos de Pós-Graduação lato sensu não seguem esta resolução. Nota: O SIC UFMG informa que nos termos do art. 15 da Lei 12.527/11, V.Sa. poderá interpor recurso contra a resposta recebida no prazo de 10 (dez) dias a contar da sua ciência. O recurso será dirigido à autoridade hierarquicamente superior a que exarou a resposta em questão, que deliberará no prazo de 05 (cinco) dias corridos. Atenciosamente, Equipe SIC UFMG. ;Acesso Concedido;Resposta solicitada inserida no Fala.Br",UFMG – Universidade Federal de Minas Gerais,2017,"Requer a disponibilização da proposta de políticas de ação afirmativa nos termos da Portaria Normativa nº 13/2016, bem como a disponibilização dos editais dos programas de pós-graduação que adotaram até o momento o sistema de cotas, e outros pedidos.",Atendido em anexo,1
"Ilustríssimo, Sou estudante da pós-graduação em Processo Civil Contemporâneo no Programa de Pós-Graduação em Direito do Centro de Ciências Jurídicas da Universidade Federal de Pernambuco. Estou realizando uma pesquisa sobre as cotas raciais na pós-graduação a partir de uma análise da eficácia normativa. Posto isso, gostaria de requerer algumas informações, com base na Lei 12.527/11. A Portaria Normativa n° 13, de 11 de maio de 2016, considerando a Lei 12.288/10, a Lei 12.711/12 e o Decreto nº 7.824/12, resolveu que as IES federais deveriam apresentar proposta de inclusão de negros (pretos e pardos), indígenas e pessoas com deficiência em seus programas de pós-graduação (Mestrado, Mestrado Profissional e Doutorado), como Políticas de Ações Afirmativas . Dessa forma, requer à Vossa Senhoria que se digne a: • Disponibilizar a proposta que vossa instituição apresentou em cumprimento à Portaria Normativa, • Disponibilizar os editais dos programas de pós-graduação, seja latu sensu, seja stricto sensu, que adotaram o regime de cotas, • Disponibilizar os editais dos programas de de pós-graduação, seja latu sensu, seja stricto sensu, que não adotaram o regime de cotas, e, • Disponibilizar eventual política de ação afirmativa ligada ao tema que vossa instituição tenha em vigor. A disponibilização pode ser feita por envio direto (seja por este portal, seja por e-mail, como ficar viável) ou por disponibilização de links ativos – em todo caso, relacionando a cada pedido separadamente. Em cumprimento ao art. 10 da Lei 12.527/11, identifica-se o requerente através do cadastro no sistema e-SIC. Quaisquer informações adicionais que sejam requisitos necessários à obtenção das informações aqui requeridas, desde que razoáveis, podem ser requeridas a este requerente que terá o prazer de contribuir com Vossa Senhoria no cumprimento de vosso dever de prestar informação. Atenciosamente. ;28/08/2017;Não;Não;Pelo sistema (com avisos por email);Internet;2808846;Educação Superior; ; ;11/08/2017;Prezado Sr. Luiz Pereira, A UFOP tem em sua norma de regulamentação dos processos seletivos (Resolução CEPE 7.200) a previsão da reserva de vagas, conforme disposto na Portaria Normativa do MEC. Outro instrumento normativo que estabelecerá os procedimentos a serem adotados pelos PPGs está em fase de discussão com a comunidade acadêmica. Tão logo seja aprovada, será feita a divulgação no site da Universidade e disponibilizada na página da Propp: http://www.propp.ufop.br/ Informamos que os editais dos Programas de Pós-Graduação com inscrições para o segundo semestre de 2017 já adotaram a política de cotas. Outros, como o de mestrado em Direito, adotaram esta política antes mesmo da publicação da CEPE 7.200. Os editais dos PPGs estão disponíveis em seus respectivos sites. Os processos seletivos das turmas que se iniciarão em 2018/1 obrigatoriamente deverão prever as cotas. Att, SIC/UFOP;Acesso Concedido;Resposta solicitada inserida no Fala.Br",UFOP – Fundação Universidade Federal de Ouro Preto,2017,"Requer a disponibilização da proposta de políticas de ação afirmativa nos termos da Portaria Normativa nº 13/2016, bem como a disponibilização dos editais dos programas de pós-graduação que adotaram até o momento o sistema de cotas, e outros pedidos.",Atendido em anexo,1
"Ilustríssimo, Sou estudante da pós-graduação em Processo Civil Contemporâneo no Programa de Pós-Graduação em Direito do Centro de Ciências Jurídicas da Universidade Federal de Pernambuco. Estou realizando uma pesquisa sobre as cotas raciais na pós-graduação a partir de uma análise da eficácia normativa. Posto isso, gostaria de requerer algumas informações, com base na Lei 12.527/11. A Portaria Normativa n° 13, de 11 de maio de 2016, considerando a Lei 12.288/10, a Lei 12.711/12 e o Decreto nº 7.824/12, resolveu que as IES federais deveriam apresentar proposta de inclusão de negros (pretos e pardos), indígenas e pessoas com deficiência em seus programas de pós-graduação (Mestrado, Mestrado Profissional e Doutorado), como Políticas de Ações Afirmativas . Dessa forma, requer à Vossa Senhoria que se digne a: • Disponibilizar a proposta que vossa instituição apresentou em cumprimento à Portaria Normativa, • Disponibilizar os editais dos programas de pós-graduação, seja latu sensu, seja stricto sensu, que adotaram o regime de cotas, • Disponibilizar os editais dos programas de de pós-graduação, seja latu sensu, seja stricto sensu, que não adotaram o regime de cotas, e, • Disponibilizar eventual política de ação afirmativa ligada ao tema que vossa instituição tenha em vigor. A disponibilização pode ser feita por envio direto (seja por este portal, seja por e-mail, como ficar viável) ou por disponibilização de links ativos – em todo caso, relacionando a cada pedido separadamente. Em cumprimento ao art. 10 da Lei 12.527/11, identifica-se o requerente através do cadastro no sistema e-SIC. Quaisquer informações adicionais que sejam requisitos necessários à obtenção das informações aqui requeridas, desde que razoáveis, podem ser requeridas a este requerente que terá o prazer de contribuir com Vossa Senhoria no cumprimento de vosso dever de prestar informação. Atenciosamente. ;28/08/2017;Não;Não;Pelo sistema (com avisos por email);Internet;2808846;Educação Superior; ; ;09/08/2017;Boa tarde, Em atendimento a sua solicitação, informamos os links abaixo, na ordem de seus questionamentos: 1- http://wp.ufpel.edu.br/prppgi/files/2013/08/Resolu%C3%A7%C3%A3o-n.-05-de-26-de-abril-de-2017-1.pdf?file=2013/08/Resolu%C3%A7%C3%A3o-n.-05-de-26-de-abril-de-2017-1.pdf 2-http://wp.ufpel.edu.br/prppgi/editais-da-pos-graduacao/ 3-http://wp.ufpel.edu.br/prppgi/editais-da-pos-graduacao/ 4-http://wp.ufpel.edu.br/prppgi/files/2013/08/Resolu%C3%A7%C3%A3o-n.-05-de-26-de-abril-de-2017-1.pdf?file=2013/08/Resolu%C3%A7%C3%A3o-n.-05-de-26-de-abril-de-2017-1.pdf Os links dos itens 1 e 4 servem para o mesmo questionamento. Quanto aos editais, os links dos itens 2 e 3 contém as duas informações, sendo que, em função da data da Resolução UFPel nº 05/2017 que atende à Portaria Normativa 13/2016, deve-se considerar a partir do Edital 034/2017( considerando-se o ingresso como aluno regular) Att. Ouvidoria/UFPel;Acesso Concedido;Resposta solicitada inserida no Fala.Br",UFPel – Fundação Universidade Federal de Pelotas,2017,"Requer a disponibilização da proposta de políticas de ação afirmativa nos termos da Portaria Normativa nº 13/2016, bem como a disponibilização dos editais dos programas de pós-graduação que adotaram até o momento o sistema de cotas, e outros pedidos.",Atendido em anexo,1
"Ilustríssimo, Sou estudante da pós-graduação em Processo Civil Contemporâneo no Programa de Pós-Graduação em Direito do Centro de Ciências Jurídicas da Universidade Federal de Pernambuco. Estou realizando uma pesquisa sobre as cotas raciais na pós-graduação a partir de uma análise da eficácia normativa. Posto isso, gostaria de requerer algumas informações, com base na Lei 12.527/11. A Portaria Normativa n° 13, de 11 de maio de 2016, considerando a Lei 12.288/10, a Lei 12.711/12 e o Decreto nº 7.824/12, resolveu que as IES federais deveriam apresentar proposta de inclusão de negros (pretos e pardos), indígenas e pessoas com deficiência em seus programas de pós-graduação (Mestrado, Mestrado Profissional e Doutorado), como Políticas de Ações Afirmativas . Dessa forma, requer à Vossa Senhoria que se digne a: • Disponibilizar a proposta que vossa instituição apresentou em cumprimento à Portaria Normativa, • Disponibilizar os editais dos programas de pós-graduação, seja latu sensu, seja stricto sensu, que adotaram o regime de cotas, • Disponibilizar os editais dos programas de de pós-graduação, seja latu sensu, seja stricto sensu, que não adotaram o regime de cotas, e, • Disponibilizar eventual política de ação afirmativa ligada ao tema que vossa instituição tenha em vigor. A disponibilização pode ser feita por envio direto (seja por este portal, seja por e-mail, como ficar viável) ou por disponibilização de links ativos – em todo caso, relacionando a cada pedido separadamente. Em cumprimento ao art. 10 da Lei 12.527/11, identifica-se o requerente através do cadastro no sistema e-SIC. Quaisquer informações adicionais que sejam requisitos necessários à obtenção das informações aqui requeridas, desde que razoáveis, podem ser requeridas a este requerente que terá o prazer de contribuir com Vossa Senhoria no cumprimento de vosso dever de prestar informação. Atenciosamente. ;28/08/2017;Não;Não;Pelo sistema (com avisos por email);Internet;2808846;Educação Superior; ; ;09/08/2017;Prezado, a UFRR possui uma política de ações afirmativas para ingresso na GRADUAÇÃO, na resolução 013/2012 em anexo. No entanto há 1 programa de Pós que adotou política semelhante: o mestrado em ANTROPOLOGIA SOCIAL (edital em anexo). Os demais programas de Pós-graduação não adotaram cotas afirmativas para ingresso. Os editais seguem em anexo. Os editais dos programas PROFNIT, PRONAT e DOUTORADO EM REDE DE BIODIVERSIDADE E BIOTECNOLOGIA DA AMAZÔNIA LEGAL não puderam ser carregados aqui por causa do limite da quant. de arquivos. Demais informações sobre Pós na UFRR: http://www.prppg.ufrr.br/index.php/organogramas/stricto-sensu O DOUTORADO EM EDUCAÇÃO EM CIÊNCIAS E MATEMÁTICA - REAMEC não é desta instituição. Há apenas 1 especialização end: http://ufrr.br/ceduc/index.php?option=com_content&view=article&id=45:pos-graduacao-lato-sensu-educacao-especial-na-perspectiva-da-educacao-inclusiva&catid=18&Itemid=102 para solicitação de demais informações via email se preferir, o endereço é sic@ufrr.br Cordialmente,;Acesso Concedido;Resposta solicitada inserida no Fala.Br",UFRR – Fundação Universidade Federal de Roraima,2017,"Requer a disponibilização da proposta de políticas de ação afirmativa nos termos da Portaria Normativa nº 13/2016, bem como a disponibilização dos editais dos programas de pós-graduação que adotaram até o momento o sistema de cotas, e outros pedidos.",Atendido,1
"Ilustríssimo, Sou estudante da pós-graduação em Processo Civil Contemporâneo no Programa de Pós-Graduação em Direito do Centro de Ciências Jurídicas da Universidade Federal de Pernambuco. Estou realizando uma pesquisa sobre as cotas raciais na pós-graduação a partir de uma análise da eficácia normativa. Posto isso, gostaria de requerer algumas informações, com base na Lei 12.527/11. A Portaria Normativa n° 13, de 11 de maio de 2016, considerando a Lei 12.288/10, a Lei 12.711/12 e o Decreto nº 7.824/12, resolveu que as IES federais deveriam apresentar proposta de inclusão de negros (pretos e pardos), indígenas e pessoas com deficiência em seus programas de pós-graduação (Mestrado, Mestrado Profissional e Doutorado), como Políticas de Ações Afirmativas . Dessa forma, requer à Vossa Senhoria que se digne a: • Disponibilizar a proposta que vossa instituição apresentou em cumprimento à Portaria Normativa, • Disponibilizar os editais dos programas de pós-graduação, seja latu sensu, seja stricto sensu, que adotaram o regime de cotas, • Disponibilizar os editais dos programas de de pós-graduação, seja latu sensu, seja stricto sensu, que não adotaram o regime de cotas, e, • Disponibilizar eventual política de ação afirmativa ligada ao tema que vossa instituição tenha em vigor. A disponibilização pode ser feita por envio direto (seja por este portal, seja por e-mail, como ficar viável) ou por disponibilização de links ativos – em todo caso, relacionando a cada pedido separadamente. Em cumprimento ao art. 10 da Lei 12.527/11, identifica-se o requerente através do cadastro no sistema e-SIC. Quaisquer informações adicionais que sejam requisitos necessários à obtenção das informações aqui requeridas, desde que razoáveis, podem ser requeridas a este requerente que terá o prazer de contribuir com Vossa Senhoria no cumprimento de vosso dever de prestar informação. Atenciosamente. ;28/08/2017;Não;Não;Pelo sistema (com avisos por email);Internet;2808846;Educação Superior; ; ;23/08/2017;Prezado, Segue, em anexo, resposta ao seu pedido de acesso à informação. Att, SIC/UFSC;Acesso Concedido;Resposta solicitada inserida no Fala.Br",UFSC – Universidade Federal de Santa Catarina,2017,"Requer a disponibilização da proposta de políticas de ação afirmativa nos termos da Portaria Normativa nº 13/2016, bem como a disponibilização dos editais dos programas de pós-graduação que adotaram até o momento o sistema de cotas, e outros pedidos.",Atendido em anexo,1
"Ilustríssimo, Sou estudante da pós-graduação em Processo Civil Contemporâneo no Programa de Pós-Graduação em Direito do Centro de Ciências Jurídicas da Universidade Federal de Pernambuco. Estou realizando uma pesquisa sobre as cotas raciais na pós-graduação a partir de uma análise da eficácia normativa. Posto isso, gostaria de requerer algumas informações, com base na Lei 12.527/11. A Portaria Normativa n° 13, de 11 de maio de 2016, considerando a Lei 12.288/10, a Lei 12.711/12 e o Decreto nº 7.824/12, resolveu que as IES federais deveriam apresentar proposta de inclusão de negros (pretos e pardos), indígenas e pessoas com deficiência em seus programas de pós-graduação (Mestrado, Mestrado Profissional e Doutorado), como Políticas de Ações Afirmativas . Dessa forma, requer à Vossa Senhoria que se digne a: • Disponibilizar a proposta que vossa instituição apresentou em cumprimento à Portaria Normativa, • Disponibilizar os editais dos programas de pós-graduação, seja latu sensu, seja stricto sensu, que adotaram o regime de cotas, • Disponibilizar os editais dos programas de de pós-graduação, seja latu sensu, seja stricto sensu, que não adotaram o regime de cotas, e, • Disponibilizar eventual política de ação afirmativa ligada ao tema que vossa instituição tenha em vigor. A disponibilização pode ser feita por envio direto (seja por este portal, seja por e-mail, como ficar viável) ou por disponibilização de links ativos – em todo caso, relacionando a cada pedido separadamente. Em cumprimento ao art. 10 da Lei 12.527/11, identifica-se o requerente através do cadastro no sistema e-SIC. Quaisquer informações adicionais que sejam requisitos necessários à obtenção das informações aqui requeridas, desde que razoáveis, podem ser requeridas a este requerente que terá o prazer de contribuir com Vossa Senhoria no cumprimento de vosso dever de prestar informação. Atenciosamente. ;28/08/2017;Não;Não;Pelo sistema (com avisos por email);Internet;2808846;Educação Superior; ; ;17/08/2017;Prezado Luiz! Em resposta a sua solicitação enviamos o arquivo em anexo contendo as respostas ao seu questionamento referente cotas raciais na Pós-Graduação na UFSM. Att, Equipe E-SIC/UFSM.;Acesso Concedido;Resposta solicitada inserida no Fala.Br",UFSM – Universidade Federal de Santa Maria,2017,"Requer a disponibilização da proposta de políticas de ação afirmativa nos termos da Portaria Normativa nº 13/2016, bem como a disponibilização dos editais dos programas de pós-graduação que adotaram até o momento o sistema de cotas, e outros pedidos.",Atendido,1
"Ilustríssimo, Sou estudante da pós-graduação em Processo Civil Contemporâneo no Programa de Pós-Graduação em Direito do Centro de Ciências Jurídicas da Universidade Federal de Pernambuco. Estou realizando uma pesquisa sobre as cotas raciais na pós-graduação a partir de uma análise da eficácia normativa. Posto isso, gostaria de requerer algumas informações, com base na Lei 12.527/11. A Portaria Normativa n° 13, de 11 de maio de 2016, considerando a Lei 12.288/10, a Lei 12.711/12 e o Decreto nº 7.824/12, resolveu que as IES federais deveriam apresentar proposta de inclusão de negros (pretos e pardos), indígenas e pessoas com deficiência em seus programas de pós-graduação (Mestrado, Mestrado Profissional e Doutorado), como Políticas de Ações Afirmativas . Dessa forma, requer à Vossa Senhoria que se digne a: • Disponibilizar a proposta que vossa instituição apresentou em cumprimento à Portaria Normativa, • Disponibilizar os editais dos programas de pós-graduação, seja latu sensu, seja stricto sensu, que adotaram o regime de cotas, • Disponibilizar os editais dos programas de de pós-graduação, seja latu sensu, seja stricto sensu, que não adotaram o regime de cotas, e, • Disponibilizar eventual política de ação afirmativa ligada ao tema que vossa instituição tenha em vigor. A disponibilização pode ser feita por envio direto (seja por este portal, seja por e-mail, como ficar viável) ou por disponibilização de links ativos – em todo caso, relacionando a cada pedido separadamente. Em cumprimento ao art. 10 da Lei 12.527/11, identifica-se o requerente através do cadastro no sistema e-SIC. Quaisquer informações adicionais que sejam requisitos necessários à obtenção das informações aqui requeridas, desde que razoáveis, podem ser requeridas a este requerente que terá o prazer de contribuir com Vossa Senhoria no cumprimento de vosso dever de prestar informação. Atenciosamente. ;28/08/2017;Não;Não;Pelo sistema (com avisos por email);Internet;2808846;Educação Superior; ; ;18/08/2017;Boa tarde Luiz, Segue em anexo resposta elaborada pela Secretaria Geral de Ações Afirmativas, Diversidade e Equidade da UFSCar. Com relação aos cursos de pós-graduação lato sensu, o Coordenador da Coordenadoria de Cursos de Extensão nos informou que fica a critério de cada coordenador incluir no edital a reserva de vagas para negros (pretos/pardos), indígenas e pessoas com deficiência. No momento, nenhum curso de pós-graduação lato sensu tem essa reserva de vagas. Atenciosamente, Departamento de Informações Institucionais - UFSCar Responsável pelo SIC;Acesso Concedido;Informações enviadas por e-mail",UFSCar – Fundação Universidade Federal de São Carlos,2017,"Requer a disponibilização da proposta de políticas de ação afirmativa nos termos da Portaria Normativa nº 13/2016, bem como a disponibilização dos editais dos programas de pós-graduação que adotaram até o momento o sistema de cotas, e outros pedidos.",Atendido,1
"Ilustríssimo, Sou estudante da pós-graduação em Processo Civil Contemporâneo no Programa de Pós-Graduação em Direito do Centro de Ciências Jurídicas da Universidade Federal de Pernambuco. Estou realizando uma pesquisa sobre as cotas raciais na pós-graduação a partir de uma análise da eficácia normativa. Posto isso, gostaria de requerer algumas informações, com base na Lei 12.527/11. A Portaria Normativa n° 13, de 11 de maio de 2016, considerando a Lei 12.288/10, a Lei 12.711/12 e o Decreto nº 7.824/12, resolveu que as IES federais deveriam apresentar proposta de inclusão de negros (pretos e pardos), indígenas e pessoas com deficiência em seus programas de pós-graduação (Mestrado, Mestrado Profissional e Doutorado), como Políticas de Ações Afirmativas . Dessa forma, requer à Vossa Senhoria que se digne a: • Disponibilizar a proposta que vossa instituição apresentou em cumprimento à Portaria Normativa, • Disponibilizar os editais dos programas de pós-graduação, seja latu sensu, seja stricto sensu, que adotaram o regime de cotas, • Disponibilizar os editais dos programas de de pós-graduação, seja latu sensu, seja stricto sensu, que não adotaram o regime de cotas, e, • Disponibilizar eventual política de ação afirmativa ligada ao tema que vossa instituição tenha em vigor. A disponibilização pode ser feita por envio direto (seja por este portal, seja por e-mail, como ficar viável) ou por disponibilização de links ativos – em todo caso, relacionando a cada pedido separadamente. Em cumprimento ao art. 10 da Lei 12.527/11, identifica-se o requerente através do cadastro no sistema e-SIC. Quaisquer informações adicionais que sejam requisitos necessários à obtenção das informações aqui requeridas, desde que razoáveis, podem ser requeridas a este requerente que terá o prazer de contribuir com Vossa Senhoria no cumprimento de vosso dever de prestar informação. Atenciosamente. ;08/09/2017;Sim;Não;Pelo sistema (com avisos por email);Internet;2808846;Educação Superior; ; ;30/08/2017;Prezado Sr. Luiz Claudio Cardona Pereira, A sua solicitação foi submetida à Pró-Reitoria de Pós-Graduação e Pesquisa e obtivemos a seguinte resposta em anexo. Atenciosamente, Janaína A. Costa Gestora e-SIC Unifesp;Acesso Concedido;Resposta solicitada inserida no Fala.Br",UNIFESP – Universidade Federal de São Paulo,2017,"Requer a disponibilização da proposta de políticas de ação afirmativa nos termos da Portaria Normativa nº 13/2016, bem como a disponibilização dos editais dos programas de pós-graduação que adotaram até o momento o sistema de cotas, e outros pedidos.",Atendido em anexo,1
