,C,pedido,cluster,validation
10,T011,meu marido está internado para desintoxição pelo _uso_ contínuo de alcool foi aposentado por invalidez pela spprev mas com somente 24 35 dos _anos_ trabalhados junto ao tribunal de justiça ocorre que ele afirma ter trabalhado por cerca de 10 _anos_ com contribuição para o inss antes de ingressar no serviço_público mas _não_ _se_ lembra exatamente onde _e_ perdeu todas as carteiras de trabalho _e_ quaisquer _documentos_ que possam identificar os antigos empregadores pergunto há possibilidade de fazer algum levantamento a respeito a spprev estabelece o prazo de um _ano_ a contar da concessão da aposentadoria para juntada de certidão _e_ esta _se_ deu em _setembro_ 2016 portanto o _tempo_ está correndo _e_ _não_ tenho como procurar no agendamento do inss para obtenção de certidão exige _se_ a apresentação de _documentos_ comprobatórios exatamente o que _não_ possuo por _favor_ preciso de auxilio,Temer_01,Q2: Private-Political
11,T012,bom _dia_ realizo _pesquisa_ de mestrado pela faculdade de medicina da ufrj que trata do afastamento das atividades laborais pela doença inflamatória intestinal doença de crohn ou colite ulcerativa cid 10 k50 _e_ k51 respectivamente pessoas acometidas por essas patologias podem vir a necessitar de licença médica auxílio doença ou até mesmo aposentadoria precoce por invalidez contudo _não_ há na literatura estudos epidemiológicos que abordem esse assunto no _brasil_ nosso estudo objetiva estimar a incidência de benefícios de auxílio doença previdenciário _e_ aposentadoria por invalidez concedida a indivíduos incapacitados para as atividades laborais pela doença inflamatória intestinal _e_ segurados do inss _e_ correlacionar fatores associados à incidência de concessão dos benefícios já realizei _solicitações_ de _dados_ _e_ fui prontamente atendida por vocês agradeço muito atualmente estamos na fase de _análise_ _e_ verificamos que seria interessante incluir ao estudo a variável de _tempo_ de duração do benefício porém _não_ sei _se_ há essa _informação_ no banco de _dados_ de vocês assim _caso_ o _tempo_ de duração do benefício concedido esteja disponível solicito os _dados_ a seguir 19 variáveis dos indivíduos segurados do inss aos quais foram concedidos os benefícios de auxílio doença previdenciário _e_ ou aposentadoria por invalidez previdenciária devido à doença de crohn ou à colite ulcerativa cid 10 k50 k50 0 k50 1 k50 8 _e_ k50 9 k51 k51 0 k51 1 k51 2 k51 3 k51 4 k51 5 k51 8 _e_ k 51 9 espécie de benefício sexo idade _ano_ de concessão idade na concessão do benefício clientela domicílio em área urbana rural faixa salarial _forma_ de filiação região unidade federativa _município_ de residência grau de instrução _data_ da concessão _data_ de entrada no requerimento _data_ de início da doença _data_ de início da incapacidade _tempo_ de duração do benefício concedido ramo de atividade obrigada desde já christien,Temer_01,Q2: Private-Political
12,T013,foi solicitado a ect empresa brasileira de correios _e_ telégrafos extrato de contribuição para o fundo de garantia por _tempo_ de serviço por _parte_ da mesma fui encaminhando ao banco do _brasil_ que a época era o responsável pelo recolhimento da contribuição lá _não_ obtiveram _informações_ fui então encaminhado a cef caixa economica federal da mesma _forma_ _não_ obtive êxito no pleito desejado ao me dirigir a um posto da previdência_social me informou que preciso dessas _informações_ para que possa dar prosseguimento na minha aposentadoria então fui informado do vosso serviço para _informações_ acerca do pedido pertinente solicitar _informações_ sobre recolhimento de fgts do _período_ de 1974 até a _presente_ _data_ desde já grato pela sua _atenção_,Temer_01,Q2: Private-Political
13,T014,por _favor_ preciso de _informações_ a respeito do recebimento do meu beneficio n 1721178802 fui diversas _vezes_ no banco do _brasil_ agência 0247 em guiratinga mt _e_ nenhum funcionário consegue me ajudar todo _mês_ quando vou receber minha aposentadoria preciso ir la dentro levar o _número_ do beneficio _e_ sacar no caixa no _dia_ que fui assinar os papeis no inss foi solicitado o recebimento da aposentadoria numa conta poupança que já tenho n 9156 1 variação 51 acontece que os funcionários dessa agencia _não_ sabem como fazer para que o meu pagamento credite nela para que todo _mês_ eu _não_ precise ir la dentro mas efetuar o saque via caixa eletrônico por _favor_ me digam o que tenho que fazer,Temer_01,Q1: Public-Political
14,T015,olá inss um cidadão teve auxílio doença de 2002 até 2007 a partir de 2008 está aposentado por invalidez ele tem 67 _anos_ de idade 25 _anos_ de contribuição ao inss sem contar com o _tempo_ da sua incapacidade aux doença _e_ apos invalidez _e_ apenas 7 contribuições no _período_ a partir de _julho_ 1994 ele superou a sua doença alcoolismo vai cancelar a sua aposentadoria por invalidez _e_ pretende pedir a aposentadoria por idade cujo o valor do benefício será maior pela instrução_normativa abaixo ele poderá usar o _período_ de incapacidade como carência para cálculo do benefício inicial dessa aposentadoria por idade desde que recolha ao inss contribuição como individual nessa transição de aposentadorias para ter direito a in abaixo pergunto o inss está cumprindo a in inss pres 86 2016 para todos os _casos_ que nela estejam enquadrados ou há _casos_ que o pedido é rejeitado ele está com receio de ficar com uma aposentadoria de apenas 1 salário mínimo _caso_ o inss _se_ negue a cumprir a in acima isso poderá acontecer ou o _caso_ dele será atendido sem problemas junto ao inss ele poderá recolher apenas 1 contribuição como individual ou deverá ser um n x de contribuições até o processo estar concluído no inss a primeira contribuição como individual deverá ser feita no mesmo _mês_ do pedido da sua aposentadoria por idade quanto _tempo_ leva esse processo no inss ou seja qual é o prazo médio que ele deverá esperar para ter essa aposentadoria por idade agradeço a sua _atenção_ _e_ aguardo o seu retorno virgínia,Temer_01,Q2: Private-Political
15,T016,bom _dia_ no _dia_ 14 02 2016 dei entrada na previdência_social agencia 17022130 solicitado minha aposentadoria por _tempo_ de contribuição com o numero 174842208 9 _e_ no _dia_ 02 05 2016 saiu o beneficio só que caiu no fator previdenciário _e_ no _dia_ 25 05 2016 retornei a agencia _e_ pedi baixa do beneficio _e_ consultado a previdência já _se_ faz 60 _dias_ que costa que meu processo continua ativo retornei a agencia _e_ fui informado que o meu processo foi enviado para a caixa_econômica federal no _mês_ 08 2016 eu completo _tempo_ de contribuição _e_ idade de 95 _anos_ gostaria _se_ fosse possível me informa _se_ falta algum _documentos_ enfim alguma coisa que esteja impedido a baixa do processo o mais muito obrigado r j 25 07 2016 luiz celso da _silva_ cpf 74844601768,Temer_01,Q1: Public-Political
16,T017,a 05 _anos_ fui até uma agência do mte em osasco para solicitar que corrigissem em sistema um erro que dizia que eu era aposentada visto que na verdade apenas recebia um benefício de pensão alimentícia da minha filha proveniente da aposentadoria do meu ex marido que é aposentado do inss por um erro do juiz que expediu a pensão alimentícia o benefício foi registrado no inss como pensão de ex esposa _e_ o ministério_do_trabalho bloqueou meu seguro desemprego pois constava que eu já recebia um outro benefício vindo do mesmo órgão inss que era essa pensão o erro foi corrigido em 2012 levei todos os comprovantes _e_ _documentos_ até a agencia do mte em osasco _e_ solicitei a correção também no sistema do mte desde então nunca recebi nenhum retorno _e_ nenhuma correção foi feita aguardo um retorno desde então para que eu _não_ seja prejudicada no futuro quando for realmente me aposentar,Temer_01,Q1: Public-Political
17,T018,boa noite sou servidor_público municipal _e_ já trabalhei por muitos _anos_ como gestor do programa bolsa familia durante os _anos_ que fui gestor efetuei vários cadastros referente a pessoas que queriam contribuir como baixa renda codigo 1929 _e_ estas foram pagando por muitos _e_ muitos _anos_ _e_ algumas delas quando foram requerer um benefício ou aposentadoria no inss foi negado tal pedido _e_ aconselhados a pagar a diferença que seria de 6 porcento para atingir o percentual de 11 porcento diferença esta acrescidas de de altos juros multas para conseguir o beneficio ou aposentadoria diante do exposto venho pedir o _favor_ de me informar qual procedimento devemos usar pois os servidores da previdência_social estão coagindo os segurados dizendo que tal contribuição _não_ serve pra nada sem mais agradeço _e_ aguardo _resposta_,Temer_01,Q1: Public-Political
18,T019,quantos cargos de técnico bancário existem nas unidades de apiaí guapiara itaberá itapeva itaporanga itararé _e_ ribeirão branco polo de sp 14 _e_ micropolo 73 destes cargos quantos estão ocupados _e_ quantos estão vagos dos cargos ocupados existe algum que _não_ foi preenchido por _meio_ de concurso_público quantas mortes aposentadorias demissões exonerações ocorreram para o cargo de técnico bancário no polo de sp 14 _e_ micropolo 73 durante o _período_ de 8 de _maio_ de 2014 até hoje existem pessoas terceirizadas temporários exercendo as atividades referentes ao cargo de técnico bancário nas unidades polo de sp 14 _e_ micropolo 73 _se_ sim quantos quantas agências foram inauguradas durante o _período_ de 8 de _maio_ de 2014 até hoje na região do polo de sp 14 _e_ micropolo 73 qual o _número_ ideal de funcionários exercendo o cargo de técnico bancário em cada nova agência dos candidatos convocados para o cargo de técnico bancário para o polo de sp 14 _e_ micropolo 73 em razão do concurso realizado pelo edital n 02 bb de 10 de _dezembro_ de 2013 quantos ainda estão em exercendo o cargo neste polo o banco do _brasil_ fez alguma contratação por _meio_ de licitação de serviços para exercerem atividades administrativas atendimento aos clientes _e_ ao público em geral realizando operações diversas executando atividades bancárias _e_ administrativas incluindo a comercialização de produtos _e_ serviços efetivação de cálculos _e_ controles numéricos inserção _e_ _consulta_ de _dados_ em sistemas operacionais informatizados bem como realização de operações de caixa contribuição para a realização de negócios alcance de metas ou realizando trabalhos para o desempenho da unidade _e_ a satisfação dos clientes internos _e_ externos durante o _período_ de 8 de _maio_ de 2014 até hoje o banco do _brasil_ fez alguma renovação de contratação por _meio_ de licitação de serviços para exercerem atividades administrativas continua no anexo,Temer_01,Q2: Private-Political
19,T020,prezados senhores recebo atualmente meu beneficio do inss aposentadoria por _tempo_ de serviço na cef crédito em conta corrente uma _vez_ que o banco do _brasil_ por razões internas quando por mim consultado _não_ quis efetivar o referido empréstimo consignado do inss em conta corrente que mantenho no bb recentemente fiz um empréstimo consignado direto com o inss com intermediação da cef passando a receber os benefícios líquidos abatida parcela do consignado sendo creditado atualmente em minha conta corrente na cef gostaria de saber _se_ posso transferir o crédito dos benefícios para conta corrente no bb mesmo tendo efetivado o empréstimo consignado inss através da cef em _caso_ positivo qual o procedimento a ser adotado agradeço a consideração da _resposta_ gustavo velasquez santos,Temer_01,Q1: Public-Political
20,T021,tenho 37 5 _anos_ de contribuição ininterrupta ao inss contribuo desde 16 10 1978 estou há 32 _anos_ ininterruptos na empresa atual desde 24 07 1984 _e_ continuo nela empregado dos quais 31 _anos_ em atividade especial por ruído os ppp s _e_ os ltcat s já estão em poder do inss diante do exposto pergunto _se_ o inss reconhecer _e_ deferir os 31 _anos_ como especial poderei requerer a conversão de todo esse _tempo_ 31 x 1 4 43 4 _e_ somar com o saldo de _tempo_ normal 43 4 convertidos 6 5 normais 49 9 _anos_ de contribuição _e_ requerer a aposentadoria por _tempo_ de contribuição espécie 42 porque nesse _caso_ incidiria a tabela do fator previdenciário onde 49 9 _anos_ de contribuição cruzado com a minha idade 57 5 _anos_ resultaria num fator 1 0764 esse fator elevaria o valor do meu benefício calculado r 4 900 00 para r 5 273 38 então eu receberia o teto do benefício que é r 5 189 00 senhores é procedente _e_ possível a reinvidicação acima exposta,Temer_01,Q1: Public-Political
21,T022,previ reclamatória trabalhista para revisão de benefício natal rn 13 de _julho_ de 2016 prezado as senhores as sou participante assistido da caixa de previdência dos funcionários do banco do _brasil_ previ dei entrada em uma reclamatória trabalhista junto a previ com _data_ de 03 12 2012 referente ao pedido de revisão de complemento de aposentadoria em razão de êxito em uma ação trabalhista coletiva impetrada pelo sindicato dos bancários do rn processo 01415 2004 002 21 00 0 no trf21 contra o patrocinador banco do _brasil_ na liquidação constou os recolhimentos das contribuições pessoal _e_ patronal devidamente reconhecidos pela previ somente agora em _junho_ de 2016 a previ firmou posição quanto a reclamatória informando que com base em estudos técnicos atuariais _e_ do posicionamento da previc em razão de _consulta_ feita pela previ a reclamatória para revisão do benefício foi negada oferecendo como alternativa a devolução das contribuições recolhidas atualizadas pela rentabilidade financeira dos ativos garantidores do plano de benefícios solicitei então que eles me enviassem o parecer emitido pela previc para que eu pudesse embasar a minha decisão quanto a aceitação ou _não_ da proposta em 12 07 2016 recebi mensagem _resposta_ informando da impossibilidade de fornecer este posicionamento advindo da _consulta_ a previc por _se_ tratar de correspondência de teor restrito às pessoas envolvidas no tratamento do assunto ora como participante _e_ beneficiário do plano _e_ como pessoa diretamente envolvida no assunto é do meu direito ter _acesso_ a esta _informação_ de cujo conhecimento do seu conteúdo resultará em uma decisão importante sobre a revisão do meu meu benefício diante desta situação solicito dessa entidade previc um posicionamento sobre a _questão_ no _sentido_ de preservação dos meu direitos _e_ a devida interveniência junto a previ para a solução devida _e_ legal atenciosamente hermínio sobrinho,Temer_01,Q2: Private-Political
22,T023,bom _dia_ venho por _meio_ desta pedir orientação para que ação tomar em _relação_ a aposentadoria por invalidez do meu tio ele hoje está com 69 _anos_ de idade 38 _anos_ de contribuição _e_ aposentado por invalidez desde 2007 benefício este concedido após ter tido vários episódios de avc _e_ ter _estado_ internado em algumas ocasiões que fatalmente o deixou debilitado _e_ fisicamente limitado pois bem meu pedido de orientação refere _se_ a _questão_ do confronto legal que encontrei na busca por _informações_ que fala sobre a aposentadoria de invalidez _não_ ser permanente _e_ no outro o trabalhista que ainda está suspenso aguardando uma decisão definitiva do inss como procedo para solucionar esta _questão_ espero ter sido claro no aguardo,Temer_01,Q2: Private-Political
23,T024,gostaria de ter _acesso_ aos relatórios da rais _relação_ anual de _informações_ sociais _anos_ bases 2003 2004 2005 2007 _e_ 2008 da empresa amexport ind _e_ com de madeiras _ltda_ incrita no cnpj n 05 213 758 0001 21 situada na rodovia transamazônica km 01 s n na _cidade_ de itaituba pará cep 68 180 000 trabalhei na referida empresa nos _períodos_ de 01 04 2003 até 17 07 2005 _e_ de 02 04 2007 até 30 11 2008 sendo que a empresa efetuou todos os descontos das contribuições previdenciárias dos trabalhadores mas _não_ efetuou o devido recolhimento para a previdência com a mudança nas regras para a aposentadoria por idade no meu _caso_ que faltam 02 _anos_ para completar 60 _anos_ solicitei no inss o cnis para verificação _e_ estão faltando 48 contribuições desses _períodos_ citados acima então terei que comprovar tais contribuições pois no cnis constam os 02 _períodos_ mas _não_ tem recolhimentos _e_ como eu só tenho a ctps foi solicitado o relatório da rais por _gentileza_ _se_ _não_ for possível me enviar os relatórios me orienta como fazer para _não_ perder todo esse _tempo_ de trabalho fico no aguardo _e_ desde já agradeço atenciosamente joselina márcia geraldes,Temer_01,Q2: Private-Political
24,T025,prezado a _senhor_ a requeiro as necessárias _informações_ _e_ esclarecimentos sobre a hipótese de resgate devolução de valores contribuição recolhimeto para fins de aposentadoria ou seja em _não_ sendo completada a contribuição mínima para fins de aposentadoria ou 15 _anos_ de recolhimento clt ao inss é possivel requerer estes valores já pagos na hipótese em que o contribuinte _não_ deseje mais _se_ aposentar _e_ receber benefício da previdência_social aposentadoria em face do que acima questionado pergunto também _se_ existe legislação à respeito da indagação formulada no aguardo _att_ rogério luis da cunha collete presidente venceslau sp 18 04 2017,Temer_01,Q1: Public-Political
25,T026,minha mãe recebia aposentadoria pelo inss com seu falecimento solicitei a pensão por morte para o meu pai a qual foi concedida ocorre que fui informada que a conta corrente para recebimento do benefício deveria estar no nome dele _e_ assim foi feito o inss _não_ depositou o dinheiro pois exige agora que a conta seja conjunto comigo sua filha que sou sua curadora é mesmo necessário isso já que como curadora tenho _acesso_ à conta corrente de meu pai ou seria possível informar apenas a minha conta corrente individual,Temer_01,Q1: Public-Political
26,T027,para atender a um cliente preciso de _informações_ detalhadas sobre a conta de aposentadoria bradesco processo susep n 001 000806 93 como tal produto _não_ é mais comercializado pelo banco _não_ consegui ali maiores _informações_ por orientação do funcionário que lá me atendeu fiz uma busca no site da susep mas após digitar o _número_ do processo a _resposta_ foi n do processo inválido verifique a máscara digitada _e_ tente novamente busquei esclarecimentos através do 08000218484 _e_ a atendente me orientou a encaminhar este email a _resposta_ que recebi foi informamos que este pleito deverá ser feito pelo serviço de _informação_ ao cidadão sic daí este _contato_ através do qual solicito _informações_ muito detalhadas acerca do funcionamento do plano notadamente quanto aos índices de correção monetária do capital aplicado opções _e_ condições de resgate após a cessação do pagamento das contribuições destinação do capital acumulado em _caso_ de óbito do beneficiário após o início do recebimento das prestações mensais vitalícias desde já grata pela presteza na _resposta_ a esta _solicitação_ _at_ dra maria ângela o c martins,Temer_01,Q1: Public-Political
27,T028,estou interessado em abrir um plano de previdência complementar em uma entidade independente _e_ _não_ vinculada aos grandes bancos as _respostas_ que encontrei em sites blogs sobre previdência complementar para a pergunta acima são contraditórias também _não_ encontrei _resposta_ no próprio site da susep vejam os links na internet relacionados sobre o assunto falência das entidades de previdência complementar o que acontese com o meu dinheiro 1 _https_ _www_ proteste _org_ _br_ dinheiro previdencia _e_ aposentadoria noticia previdencia privada blindagem já 2 _http_ _www_ _brasil_ _gov_ _br_ economia _e_ emprego 2012 04 contribuicoes para previdencia privada _e_ inss 20podem ser simultanea 20 3 _https_ economia terra com _br_ confira as vantagens de ter um plano de previdencia privada 351882fd208da310vgncld200000bbcceb0arcrd html grato _e_ certo sua compreensão diego oliveira machado diegoom yahoo com _br_,Temer_01,Q1: Public-Political
